Param0,String
1,Warrior
2,Ranger
3,Sorcerer
4,Berserker
5,Tamer
6,Hashashin
7,Sage
8,Warrior Use3
9,Guardian
10,Scholar
11,Drakania
12,Nova
13,Corsair
14,Lahn
15,PBM
16,Berserker Unused 2
17,Maegu
18,Shai
19,Shai Male
20,Striker
21,Musa
22,Maehwa
23,Temp Maehwa
24,Mystic
25,Valkyrie
26,Kunoichi
27,Ninja
28,Dark Knight
29,Wizard
30,Archer
31,Woosa
32,Witch
33,POSM
34,Dosa
35,Warrior Use 3
36,Warrior Use 3
37,Warrior Use 3
101,Warrior
102,Ranger
103,Sorcerer
104,Berserker
105,Tamer
106,Hashashin
107,Sage
108,Warrior Use3
109,Guardian
110,Scholar
111,Drakania
112,Sorceress Unused 1
113,Sorceress Unused 2
114,Lahn
115,PBM
116,Maegu
117,Woosa
118,Shai
119,Shai Male
120,Striker
121,Musa
122,Maehwa
123,Musa Unused 2
124,Mystic
125,Valkyrie
126,Kunoichi
127,Dark Knight
128,Ninja
129,Wizard
130,Archer
131,Witch
132,Kunoichi
133,Warrior
134,Dokkebi Musa
135,Dosa
136,PGWA
137,PBNA
138,POEA
201,Warrior_TEST
202,Ranger_TEST
203,Sorcerer_TEST
204,Giant_TEST
205,Tamer
206,Musa
207,Valkyrie
208,Wizard
209,Kunoichi
210,Witch
211,Warrior Class Change
212,Archer
213,Berserker Awakening 2
214,Guardian
250,Drill Sergeant
251,Musa Air Waves_CA
252,Toxic Flood_CA
253,Keeper Tett_CA
254,Keeper Gorr_CA
255,Keeper Arne
256,Keeper Marg
257,Keeper Tett_CA
258,Keeper Gorr_CA
259,Spellbound Heart_CA
260,Magic Lighthouse_CA
261,Blade of Darkness_CA
262,Servant of Darkness_CA
263,Keeper Arne
264,Keeper Marg
265,Fire Mat
266,Rose Trap
267,Stun Trap
268,Striker Clone
269,Spirit_CA
270,Heuklang_CA
271,Dragon_CA
272,Cartian_CA
273,Flame Buster_CA
274,Sand Sorcery_CA
275,Thornwood_Guard_CA
276,Thornwood_Guard_CA
277,Barrier_CA
278,Axian_CA
279,Blackhole_CA
280,Spatial Rift_CA
281,Arcane_CA
282,Labao_CA
283,Slippery Scallywags_CA
284,Flame's Calling_CA
285,Earth's Calling_CA
286,Markthanan's_Breath_CA
287,Revered Fox Spirit_CA
288,Foxspirit Charm_CA
289,Sari Flower_CA
290,Lava_CA
291,Kunoichi's Shadow_CA
292,Warrior of Fog_CA
301,Awakened Skill Reset
302,Combat Skills Reset: All
303,Combat Skills Reset: Partial
304,Mount Skill Change Coupon
305,Skill EXP +10%
306,EXP Increase: 10%
307,Life EXP +10%
308,Tear of Repentance
309,HP Enhancement (+100)
310,MP Enhancement (+100)
311,PK Protection Scroll
312,Horse EXP Increase: 20%
313,Character Name Change Coupon
314,Family Name Change Coupon
315,Family Expansion Coupon
316,Item Branding Scroll
317,Item Brand Removal Scroll
318,Calpheon Storage +1 Expansion Bundle
319,Calpheon Storage +4 Expansion Bundle
320,Calpheon Storage +8 Expansion Bundle
321,Serendia Storage +1 Expansion Bundle
322,Serendia Storage +4 Expansion Bundle
323,Serendia Storage +8 Expansion Bundle
324,Balenos Storage +1 Expansion Bundle
325,Balenos Storage +4 Expansion Bundle
326,Balenos Storage +8 Expansion Bundle
327,Weight Limit +50LT
328,Weight Limit +100LT
329,Inventory +1 Expansion Coupon
330,Inventory +4 Expansion Coupon
331,Inventory +8 Expansion Coupon
332,Trainer's Flute (1 Day)
333,Trainer's Flute (30 Days)
334,Unknown Dye Box
335,Patrigio's Lamplight (1 Day)
336,Patrigio's Lamplight (7 Days)
337,Patrigio's Lamplight (30 Days)
338,Pearl Box - 16
339,Pearl Box - 32
340,Elion's Tear
341,Elion's Blessing
342,Mount Name Change Coupon
343,Mount Resurrection Scroll
344,Stable Expansion Coupon
345,Total Appearance Change Coupon (1 Day)
346,Total Appearance Change Coupon (30 Days)
347,Pearl Box - 80
348,Pearl Box - 160+5
349,Pearl Box - 320+20
350,Pearl Box - 800+60
351,"Pearl Box - 1,280+120"
352,Energy Tonic
353,Red Dye Box
354,Orange Dye Box
355,Yellow-Brown Dye Box
356,Lime Dye Box
357,Mint Dye Box
358,Aqua Dye Box
359,Turquoise Dye Box
360,Blue Dye Box
361,Purple Dye Box
362,Pink Dye Box
363,Unknown Dye Box
364,Red Dye Box Bundle
365,Orange Dye Box Bundle
366,Yellow-Brown Dye Box Bundle
367,Lime Dye Box Bundle
368,Mint Dye Box Bundle
369,Aqua Dye Box Bundle
370,Turquoise Dye Box Bundle
371,Blue Dye Box Bundle
372,Purple Dye Box Bundle
373,Pink Dye Box Bundle
374,Unknown Dye Box Bundle
375,Unknown (30 days)
376,Eileen's Adventure Bundle
377,Trainer's Flute (30 Days)
378,Family Name Change Coupon (7 Days)
379,Energy Tonic (M)
380,Energy Tonic (L)
381,Nutritious Feed
382,Black Spirit Essence
383,Paste Bait
384,Horse Death Count Reset
385,Horse Breeding Count Reset_1
386,Horse Breeding Count Reset_2
387,Horse Brand
388,Elixir of Oblivion
389,Mediah Storage +1 Expansion Bundle
390,Mediah Storage +4 Expansion Bundle
391,Mediah Storage +8 Expansion Bundle
392,Weight Limit +150LT
393,Bleach
394,Remove Horse Brand
395,Blacksmith Hammer of Recovery
396,Unknown (90 days)
397,Trainer's Flute (Permanent)
398,Horse Appearance Change Coupon
399,Equipment Tailoring Coupon
400,Object
401,PC
402,Object
403,Villager
404,Villager
405,Villager
406,Villager
407,Villager
408,Villager
410,Player
411,Tutorial_Illezra_Move
412,Tutorial_Object_Fixed
413,Tutorial_NPC_Fixed
414,Tutorial_Mount_Move
415,Tutorial_Illezra_Fixed
416,Papu Queen
417,Crio King
418,Papu
419,Crio
420,Papu
421,Crio
422,Ganelle
423,Everfrost_Named_Fixed
424,Everfrost_Social_Fixed
425,Everfrost_Social_Fixed2
426,Everfrost_Talk_Fixed
427,Balenos_NPC_Fixed
428,Serendia_NPC_Fixed
429,DelpheCastle_NPC_Fixed
430,Tutorial_Illezra_Move
431,Villager
432,Villager
433,Villager
434,Villager
435,Villager
436,Khalk
437,Khalk
438,Corpse
439,O'dyllita Tower
441,Villager
442,Villager
443,Villager
444,Mysterious Person
445,Villager
446,Papu
447,Crio
448,Villager
449,Villager
450,Villager
451,Horse Appearance Change Coupon
452,Weight Limit +250LT
453,Inventory +16 Expansion Coupon
454,Inventory +16 Expansion Coupon
455,Instant MP Potion (Extra Large)
456,Desert Illness Cure
457,Desert Illness Immunity Potion
458,Refined Herbal Juice
459,Compass (One-Time Use)
460,Energy Tonic (XL)
461,[Event] Awakened Skill Reset
462,[Event] Combat Skills Reset: All
463,[Event] EU/NA Event Dye Box
464,Weight Limit +200LT
465,Golden Bell
466,Cliff's Skill Add-on Guide (30 Days)
467,Armstrong's Skill Guide (30 Days)
468,Armstrong's Skill Guide (1 Day)
469,Total Appearance Change Coupon (7 Days)
470,Russia - Edana's Collection Bo
471,Pure Gold Key
