Param0,String
1,Velia
2,Western Guard Camp
3,Cron Castle
4,Western Gateway
5,Bandit's Den Byway
6,Heidel Pass
21,Bartali Farm
22,Finto Farm
23,Goblin Cave
24,Ancient Stone Chamber
25,Imp Cave
26,Loggia Farm
27,Marino Farm
41,Cron Castle Site
42,Ehwaz Hill
43,Forest of Plunder
44,Balenos Forest
45,Toscani Farm
46,Coastal Cave
47,Altar of Agris
48,Forest of Seclusion
49,Coastal Cliff
61,Olvia
62,Florin Gateway
63,Elder's Bridge
64,Casta Farm
65,Wale Farm
66,Wolf Hills
67,Balenos River Mouth
68,Terrmian Cliff
69,Foot of Terrmian Mountain
70,Olvia Coast
71,Epheria Ridge
72,Mask Owl's Forest
102,Santo Manzi Investment Bank
103,Bahar Investment Bank
104,Specialties
105,Specialties
106,Specialties
107,Specialties
108,Specialties
109,Specialties
110,Specialties
131,Potato Farming
132,Chicken Meat Production
133,Ossuary
134,Ossuary
135,Potato Farming
136,Chicken Meat Production
139,Mining
142,Lumbering
144,Excavation
147,Mining
148,Mining
151,Potato Farming
152,Specialties
155,Gathering
156,Mining
159,Gathering
160,Lumbering
164,Gathering
167,Lumbering
168,Gathering
171,Corn Farming
172,Corn Farming
175,Mining
176,Mining
179,Gathering
183,Lumbering
184,Mining
187,Gathering
188,Mining
201,Lumbering
202,Mining
203,Grapes
204,Olives
205,Specialties
301,Heidel
302,Glish
303,Northern Guard Camp
304,Central Guard Camp
305,Southern Guard Camp
306,Northwestern Gateway
307,Southwestern Gateway
308,Eastern Border
309,Eastern Gateway
321,Alejandro Farm
322,Costa Farm
323,Moretti Plantation
324,Castle Ruins
325,Bloody Monastery
326,Northern Heidel Quarry
327,Serendia Shrine
328,Lynch Ranch
341,Northern Plain of Serendia
343,Glish Swamp
344,Southern Swamp
345,Glish Ruins
346,Northern Swamp
347,Lynch Farm Ruins
371,Biraghi Den
372,Bradie Fortress
373,Southern Neutral Zone
374,Orc Camp
375,Delphe Knights Castle
376,Watchtower
401,Luciano Pietro Investment Bank
402,Siuta Investment Bank
405,Freharau Investment Bank
406,Larc Investment Bank
407,Specialties
408,Specialties
409,Specialties
410,Specialties
431,Pumpkin Farming
432,Honey Production
435,Wheat Farming
436,Pumpkin Farming
437,Specialties
438,Flax Farming
439,Wheat Farming
440,Flax Farming
441,Moretti Safe Zone
443,Lumbering
451,Mining
452,Mining
455,Lumbering
459,Fleece Production
463,Gathering
464,Lumbering
471,Gathering
472,Mining
473,Specialties
475,Gathering
476,Mining
479,Gathering
480,Excavation
483,Gathering
484,Mining
487,Gathering
488,Excavation
601,Calpheon
602,Keplan
603,Florin
604,Port Epheria
605,Enrique Encarotia Investment Bank
606,Lehard Mertenan Investment Bank
607,Luolo Grebe Investment Bank
608,Trent
609,Behr
610,Basquean Ljurik Investment Bank
611,Norma Leight Investment Bank
612,Valentine Investment Bank
613,Specialties
614,Specialties
615,Specialties
616,Specialties
617,Specialties
618,Specialties
619,Specialties
621,Abandoned Land
622,Quint Hill
623,Anti-Troll Fortification
624,Bree Tree Ruins
625,Khuruto Cave
626,Delphe Outpost
627,Karanda Ridge
628,Northern Wheat Plantation
629,Old Dandelion
630,Contaminated Farm
631,Caphras Cave
632,Isolated Sentry Post
633,Dias Farm
634,Epheria Sentry Post
635,Epheria Valley
636,Cohen Farm
637,Elder's Bridge Post
638,Bernianto Farm
651,Marni Cave Path
652,Oze Pass
653,Marni Farm Ruins
654,Keplan Hill
655,Saunil Camp
656,Primal Giant Post
657,Saunil Battlefield
658,Trina Fort
659,Trina Beacon Towers
660,Marni's Lab
661,Falres Dirt Farm
662,Hexe Stone Wall
663,Bain Farmland
664,North Abandoned Quarry
665,Oberen Farm
666,Beacon Entrance Post
667,Abandoned Quarry
668,Gehaku Plain
669,Keplan Vicinity
670,Gianin Farm
671,Serendia Western Gateway
672,Glutoni Cave
673,Quarry Byway
674,Keplan Quarry
675,Oze's House
676,Dane Canyon
677,Tarte Rock Fork
701,Calpheon Castle Site
702,Calpheon Castle
703,Treant Forest
704,North Kaia Pier
705,Behr Riverhead
706,Rhutum Outstation
707,Rhutum Sentry Post
708,Abandoned Monastery
709,Crioville
710,Rhua Tree Stub
711,South Kaia Pier
712,Gabino Farm
713,Catfishman Camp
714,Calpheon Castle Western Forest
715,Mansha Forest
716,Marie Cave
717,Tobare's Cabin
718,Lumberjack's Rest Area
719,Longleaf Tree Sentry Post
720,Longleaf Tree Forest
721,Witch's Chapel
722,Phoniel's Cabin
723,Behr Downstream
724,Hexe Sanctuary
725,Phoniel's Cabin Entrance
726,North Kaia Mountaintop
727,Lake Kaia
801,Calpheon Trade Exchange
805,Specialties
806,Florin_2
807,Florin_3
809,Marco Faust Investment Bank
810,Christine Cessory Investment Bank
831,Gathering
832,Specialties
834,Lumbering
835,Mining
840,Lumbering
841,Gathering
842,Excavation
843,Mining
844,Khuruto Cave
849,Gathering
850,Karanda Ridge
852,Wheat Farming
853,Barley Farming
854,Paprika Farming
855,Lumbering
856,Old Dandelion
857,Specialties
858,Northern Wheat Plantation Safe Zone
901,Lumbering
902,Excavation
903,Lumbering
904,Gathering
905,Lumbering
906,Gathering
907,Lumbering
908,Lumbering
909,Abandoned Monastery
910,Lumbering
911,Gathering
912,Excavation
913,Mining
914,Mining
915,Specialties
950,Mining
951,Mining
952,Lumbering
953,Oze Pass
954,North Abandoned Quarry
955,Abandoned Quarry
956,Keplan Hill
957,Gathering
958,Mining
959,Mining
960,Hexe Stone Wall
961,Calpheon City Trade Zone
962,Calpheon Market Trade Zone
963,Calpheon Holy College Trade Zone
964,Specialties
1001,Lema Island
1002,Iliya Island
1003,Pilava Island
1004,Delinghart Island
1005,Pujara Island
1006,Ajir Island
1007,Al-Naha Island
1008,Racid Island
1009,Baremi Island
1010,Weita Island
1011,Beiruwa Island
1012,Taramura Island
1013,Ostra Island
1014,Arakil Island
1015,Kanvera Island
1016,Orffs Island
1017,Tulu Island
1018,Luivano Island
1019,Duch Island
1020,Mariveno Island
1021,Paratama Island
1022,Eveto Island
1023,Balvege Island
1024,Marlene Island
1026,Invernen Island
1027,Angie Island
1028,Tashu Island
1029,Fish Drying Yard 1
1030,Fish Drying Yard 2
1031,Fish Drying Yard 1
1032,Fish Drying Yard 2
1033,Fish Drying Yard 1
1034,Fish Drying Yard 2
1035,Fish Drying Yard 1
1036,Fish Drying Yard 2
1037,Fish Drying Yard
1038,Fish Drying Yard
