Param0,String
0,Residence
1,Lodging
2,Storage
3,Horse Ranch
11,Weapon Workshop
12,Armor Workshop
13,Handcraft Workshop
14,Carpentry Workshop
15,Jeweler
16,Tool Workshop
17,Refinery
18,Costume Mill
19,Ceramics Workshop
21,Tool Workshop
22,Florin Workshop
23,Tarif Workshop
24,Arehaza Workshop
25,Old Moon Workshop
26,Duvencrune Workshop
27,Grána Workshop
28,O'draxxia Workshop
999,Manos Jeweler
1051,Siege Weapon Workshop
1101,Shipyard
1102,Shipyard
1103,Shipyard
1104,Shipyard
1105,Shipyard
1106,Shipyard
1201,Wagon Workshop
1202,Wagon Workshop
1203,Wagon Workshop
1204,Wagon Workshop
1205,Wagon Workshop
1206,Wagon Workshop
1207,Wagon Workshop
1208,Wagon Workshop
1301,Horse Gear Workshop
1302,Ship Part Workshop
1303,Wagon Part Workshop
1304,Horse Gear Workshop
1401,Furniture Workshop
1402,Furniture Workshop
1403,Furniture Workshop
1404,Furniture Workshop
1405,Furniture Workshop
1406,Furniture Workshop
1407,Furniture Workshop
1408,Old Moon Furniture Workshop
1409,Old Moon Furniture Workshop
1410,Old Moon Furniture Workshop
1411,Old Moon Furniture Workshop
1412,Old Moon Furniture Workshop
1413,Old Moon Furniture Workshop
1414,Old Moon Furniture Workshop
1415,Old Moon Furniture Workshop
1416,Old Moon Furniture Workshop
1417,Old Moon Furniture Workshop
1418,Old Moon Furniture Workshop
1419,Old Moon Furniture Workshop
1421,Costume Mill
1422,Costume Mill
1423,Costume Mill
1424,Costume Mill
1425,Costume Mill
1426,Costume Mill
1427,Old Moon Costume Mill
1501,Fish Workshop
1502,Mushroom Workshop
1503,Crop Workshop
1504,Fish Workshop
1505,Mushroom Workshop
1506,Crop Workshop
1507,Fish Workshop
1508,Mushroom Workshop
1509,Crop Workshop
1510,Fish Workshop
1511,Mushroom Workshop
1512,Crop Workshop
1513,Fish Workshop
1514,Mushroom Workshop
1515,Crop Workshop
1516,Fish Workshop
1517,Mushroom Workshop
1518,Crop Workshop
1551,Wood Workshop
1552,Mineral Workshop
1553,Wood Workshop
1554,Mineral Workshop
1555,Wood Workshop
1556,Mineral Workshop
1557,Wood Workshop
1558,Mineral Workshop
1559,Mushroom Workshop
1601,Guild Shipyard
1602,Elephant Nursery
1603,Chariot Workshop
1604,Imperial Trade Packing
1605,Balenos Specialties Packing
1606,Serendia Specialties Packing
1607,Calpheon Specialties Packing
1608,Mediah Specialties Packing
1609,Valencia Specialties Packing
1610,Mount Part Workshop
1701,Safe Asset Management Bank
1702,Risk Asset Management Bank
1801,Duvencrune Weapon Workshop
1901,Chiro's Ship Part Workshop
2001,Dokkebi Crystal Workshop
2002,Dokkebi Tool Workshop
2003,Furniture Workshop
2004,Tool Workshop
2005,Wood Workshop
2006,Mineral Workshop
2007,Crop Workshop
2008,Mushroom Workshop
2009,Jangdok Platform
2010,Fish Workshop
2011,Shipyard
2012,Byukgye Ship Part Workshop
50001,Guild Storage level 2
50002,Guild Storage level 3
50003,Guild Storage level 4
50004,Guild Storage level 5
50005,Guild Storage level 6
50006,Guild Storage level 7
50007,Guild Storage level 7
