Param0,String
1,Test Zone
2,Sea
3,Balenos Bay
4,Balenos Plains
5,Velia
6,Agris Steppe
7,Altar of Agris
8,Fleme Hills
9,Western Guard Camp
10,Forest of Seclusion
11,Balenos Forest
12,Forest of Plunder
13,Ehwaz Hill
14,Cron Castle Site
15,Cron Castle
16,Bartali Farm
17,Finto Farm
18,Loggia Farm
19,Marino Farm
20,Toscani Farm
21,DelLucci Farm
22,Fiazza Farm Ruins
23,Ossuary
24,Coastal Cave
25,Imp Cave
26,Ancient Stone Chamber
27,Balenos Mountains
28,Heidel Pass
29,Mountain Sheep Summit
30,Heidel Castle
31,Northern Guard Camp
32,Heidel
33,Northern Heidel Quarry
34,King's Forest
35,Northern Plain of Serendia
36,Eastern Border
37,Glish Swamp
38,Demi Riverbank
39,Demi River
40,Southern Plain of Serendia
41,Wizard's Altar
42,Grain Belt
43,Southern Mountain Range
44,Western Cliff
45,Northern Neutral Zone
46,Southern Neutral Zone
47,Central Neutral Zone
48,Neutral Zone Valley Path
49,Naga Marsh
50,Fogan Marsh
51,Extraction Mill
52,Glish
53,Glish Ruins
54,Northern Swamp
55,Southern Swamp
56,Central Guard Camp
57,Southern Guard Camp
58,Northwestern Gateway
59,Eastern Gateway
60,Alejandro Farm
61,Costa Farm
62,Moretti Plantation
63,Lynch Farm Ruins
64,Dernyl Farm
65,Elda Farm
66,Rugged Southern Mountain Range
67,Bloody Monastery
68,Monastery Riverhead
69,Death's Pilgrimage
70,Serendia Shrine
71,Castle Ruins
72,Watchtower
73,Biraghi Den
74,Orc Camp
75,Bradie Fortress
76,Southern Mountain Range
77,Calpheon City
78,Desert Region
79,Other Regions
80,Calpheon Territory
81,Second Territory
82,Third Territory
83,Fifth Territory
84,Southwestern Gateway
85,Helms Post
86,Western Balenos Highlands
87,Coastal Cliff
88,Olvia
89,Elder's Bridge
90,Foot of Terrmian Mountain
91,Terrmian Cliff
92,Olvia Coast
93,Goblin Cave
94,Toscani Farm
95,Bartali Farm
96,Marino Farm
97,Finto Farm
98,Cron Castle Site
99,Balenos Plains
100,Fleme Hills
101,Ehwaz Hill
102,Agris Steppe
103,Heidel Pass
104,Coastal Cliff
105,Balenos River
106,Lynch Ranch
107,Keplan
108,Rugged Mountain Range
109,Mountainous Area
110,Marni Cave Path
111,Dane Canyon
112,Saunil Camp
113,Hexe Sanctuary
114,Faust Forest
115,Lumbering 1
116,Lumbering 2
117,Primal Giant Post
118,North Quarry
119,Florin
120,Port Epheria
121,Refugee Camp
122,Northern Wheat Plantation
123,Calpheon Castle
124,Lake Kaia
125,Behr
126,Trent
127,Trina Fort
128,Glutoni Cave
129,Marni's Lab
130,Trina Beacon Towers
131,Upper Demi River
132,Fogan Marsh
133,Southern Mountain Range Brook
134,Ossuary
135,Coastal Cave
136,Imp Cave
137,Ancient Stone Chamber
138,Goblin Cave
139,Serendia Shrine
140,Valley Cave
141,Veiled Labyrinth
142,Secret Cave
143,Secret Cave
144,Secret Cave
145,Secret Cave
146,Secret Cave
147,Secret Cave
148,Secret Cave
149,Secret Cave
150,Secret Cave
151,Secret Cave
152,Secret Cave
153,Balenos Mountains
154,Demi River
155,Ancient Stone Chamber
156,Battlefield of Honor
167,Watchtower Underground Cave
168,Secret Cave
169,Secret Cave
170,Secret Cave
171,Basement Cellar
172,Basement Cellar
173,Soldiers' Tombs (Rugged Southern Mountain Range)
174,UnKnown
175,Deep Sea
176,Bandit's Den Byway
177,Southern Mountain Range Riverhead
178,Southern Mountain Range
179,Neutral Zone Brook
180,King's Forest
181,Lema Island
182,Iliya Island
183,Old Dandelion
184,Bree Tree Ruins
